UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;Morpará;19/01/2022;BA-F-2921609-13214-20211230;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;8285;0;0;0;0;0;0;8225;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;1;0;300000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Lajedo do Tabocal;05/01/2022;BA-F-2919058-13214-20211230;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;8305;0;0;0;0;0;0;4500;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Barro Alto;04/01/2022;BA-F-2903235-13214-20211230;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;13626;0;0;0;0;0;0;13626;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;300;300;8000000.0;;;;;;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Piripá;18/01/2022;BA-F-2924702-13214-20211230;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;12789;0;0;0;0;0;0;4500;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;10;0;100000.0;DE 10% A 20%;;;;;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;São Félix do Coribe;30/12/2021;BA-F-2929057-12100-20211230;12100 - Inundações;Reconhecido;13042;2;2;0;100;15;0;250;0;5;650000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;400;0;7850000.0;;;;;;50000.0;50000.0;0.0;0.0;0.0;0.0;0.0;50000.0;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Mortugaba;06/01/2022;BA-F-2921807-13214-20211230;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;12482;0;0;0;0;0;0;12482;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;10;0;479796.03;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23436.0;0.0;0.0;0.0;813750.0;0.0;0.0;0.0;0.0
BA;Correntina;20/01/2022;BA-F-2909307-13214-20211229;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;31259;0;0;0;0;17;0;1000;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;1;0;463591.27;24;0;714230.64;;;;MAIS DE 20%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;138374.16;0.0;0.0;0.0;370000.0;150000.0;0.0;0.0;0.0
BA;Condeúba;30/12/2021;BA-F-2908705-13214-20211229;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;16888;0;0;0;0;0;0;550;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;6;1210;3495000.0;DE 5% A 10%;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Rio do Antônio;06/01/2022;BA-F-2926806-13214-20211229;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;14786;0;0;0;0;0;0;4000;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;6;5;1153000.0;;;;;;0.0;0.0;340000.0;50000.0;0.0;55000.0;0.0;708000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Itapebi;26/01/2022;BA-F-2916302-13214-20211229;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;10497;0;0;0;30;600;0;500;20;1;0.0;1;0;0.0;1;0;0.0;0;0;0.0;1;0;0.0;0;0;0.0;DE 0% A 5%;DE 0% A 5%;DE 0% A 5%;DE 0% A 5%;;150000.0;3000.0;0.0;10000.0;10000.0;0.0;0.0;7000.0;7000.0;3000.0;5000.0;220000.0;30000.0;0.0;0.0;30000.0
