Ministério do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 01/01/2022 Data Final: 01/01/2023 UF: BA
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;Maracás;25/12/2022;BA-F-2920502-12300-20221224;12300 - Alagamentos;Registro;24615;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Aiquara;26/12/2022;BA-F-2900603-12100-20221223;12100 - Inundações;Registro;4602;0;0;0;24;100;0;450;12;5;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;DE 10% A 20%;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Mascote;26/12/2022;BA-F-2920908-12300-20221223;12300 - Alagamentos;Registro;14640;0;0;0;15;280;0;0;8;6;660000.0;0;0;0.0;0;0;0.0;0;0;0.0;2;0;25000.0;2;0;180000.0;;;;;;12000.0;36000.0;75000.0;60000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25000.0;52000.0;0.0;45000.0;12000.0
BA;Wenceslau Guimarães;06/12/2022;BA-F-2933505-12300-20221205;12300 - Alagamentos;Reconhecido;22181;0;1;0;0;121;0;530;42;8;1200000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;18;1;2600000.0;DE 0% A 5%;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;250000.0;0.0
BA;São Félix;09/12/2022;BA-F-2929008-12300-20221202;12300 - Alagamentos;Registro;14099;0;10;0;10;10;0;20;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Cardeal da Silva;02/12/2022;BA-F-2907004-12100-20221201;12100 - Inundações;Não reconhecido;8271;0;0;0;78;1600;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;9;0;400000.0;;;;;;0.0;35000.0;26000.0;0.0;65800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Pilão Arcado;11/04/2022;BA-F-2924405-12100-20220405;12100 - Inundações;Reconhecido;32815;0;0;0;0;782;0;100;222;0;1299810.0;0;0;0.0;2;0;35000.0;0;0;0.0;0;0;0.0;2;0;70000.0;MAIS DE 20%;;;;;237240.0;15000.0;0.0;0.0;0.0;0.0;0.0;45000.0;35000.0;0.0;0.0;551654.46;95000.0;0.0;30000.0;0.0
BA;Itaguaçu da Bahia;29/03/2022;BA-F-2915353-12100-20220320;12100 - Inundações;Reconhecido;13209;0;0;0;400;0;0;0;70;30;3000000.0;0;0;0.0;1;0;50000.0;0;0;0.0;0;0;0.0;1;0;3000000.0;DE 0% A 5%;;;DE 0% A 5%;;30000.0;0.0;0.0;10000.0;0.0;0.0;0.0;3000000.0;20000.0;0.0;50000.0;200000.0;1000000.0;0.0;200000.0;50000.0
BA;Ibotirama;18/01/2022;BA-F-2913200-12100-20220118;12100 - Inundações;Reconhecido;25422;0;0;0;0;224;0;922;15;1;1013000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;18674069;0;877149.35;DE 10% A 20%;;;;;0.0;14710.0;0.0;0.0;1246.0;0.0;0.0;420390.0;0.0;0.0;0.0;4676428.73;0.0;0.0;0.0;0.0
BA;Malhada;15/01/2022;BA-F-2920205-12100-20220110;12100 - Inundações;Reconhecido;16008;0;0;0;0;20;0;3000;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;10;10;3000000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;1.0E7;135540.0;0.0;0.0;0.0
