UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;Camacan;13/04/2020;BA-F-2905602-13214-20200409;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;31468;0;0;0;62;85;0;0;9;3;310000.0;0;0;0.0;5;0;60000.0;0;0;0.0;0;0;0.0;27;6;720000.0;;;;;;0.0;0.0;260000.0;150000.0;0.0;0.0;0.0;0.0;0.0;0.0;60000.0;380000.0;0.0;0.0;120000.0;0.0
BA;Itabela;23/04/2020;BA-F-2914653-13214-20200409;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;28399;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Guaratinga;17/04/2020;BA-F-2911808-12300-20200409;12300 - Alagamentos;Registro;22195;0;0;0;25;5;0;1600;10;6;150000.0;0;0;0.0;1;0;13000.0;1;0;6500.0;0;0;0.0;2;0;60000.0;;;;;;30000.0;6000.0;16000.0;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Maragogipe;07/04/2020;BA-F-2920601-12300-20200407;12300 - Alagamentos;Reconhecido;42815;0;0;0;4;494;0;6200;6;0;207600.0;0;0;0.0;1;0;10000.0;0;0;0.0;0;0;0.0;3;1;2500000.0;;;;;;0.0;10000.0;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120000.0;0.0;0.0;0.0;0.0
BA;Palmeiras;13/03/2020;BA-F-2923506-13214-20200311;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;8408;0;0;0;0;0;0;2200;0;0;0.0;0;0;0.0;2;0;25000.0;0;0;0.0;0;0;0.0;460;0;36000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5100.0;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Irecê;11/03/2020;BA-F-2914604-13214-20200310;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;66404;0;0;0;0;1200;0;10500;50;0;250000.0;0;0;0.0;1;0;100000.0;0;0;0.0;0;0;0.0;100;0;1300000.0;;;;;;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;América Dourada;12/03/2020;BA-F-2901155-12300-20200310;12300 - Alagamentos;Reconhecido;15952;0;0;0;20;152;0;3500;31;0;348000.0;0;0;0.0;2;0;12000.0;0;0;0.0;3;0;75000.0;4;0;703586.96;;;;;;0.0;0.0;17645.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Biritinga;14/03/2020;BA-F-2903607-13214-20200306;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;14833;0;0;0;0;432;0;7430;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;27;4317442.62;;;;;;0.0;0.0;0.0;180000.0;0.0;0.0;0.0;3305349.6;0.0;0.0;0.0;75000.0;0.0;0.0;300000.0;0.0
BA;Barra do Rocha;10/03/2020;BA-F-2903102-13214-20200306;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;6336;0;0;0;51;5;0;409;17;0;1283976.0;1;0;6611.23;2;0;159402.75;0;0;0.0;2;0;33413.22;17;0;206467.9;;;;;;0.0;336.6;0.0;5400.0;0.0;0.0;0.0;0.0;9699.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Santa Inês;12/03/2020;BA-F-2927903-13214-20200306;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;10363;0;8;15;240;160;0;988;75;56;4761652.8;7;0;55035.0;11;0;218210.0;0;0;0.0;0;0;0.0;31;0;298000.0;;;;;;41280.0;32200.0;90012.0;160488.0;4800.0;0.0;0.0;5000.0;4756.0;3000.0;0.0;133000.0;33250.0;18000.0;30000.0;15000.0
BA;Riacho de Santana;18/03/2020;BA-F-2926400-13214-20200306;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;30651;0;0;0;0;0;0;1400;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;3;1;50000.0;MAIS DE 20%;;MAIS DE 20%;;;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Vitória da Conquista;18/03/2020;BA-F-2933307-13214-20200306;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;306374;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;João Dourado;06/03/2020;BA-F-2918357-12300-20200305;12300 - Alagamentos;Reconhecido;22359;0;0;0;0;560;0;1440;1;1;7500.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;1;0;65000.0;;;;;;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5000.0;0.0
BA;Barra;09/03/2020;BA-F-2902708-13214-20200303;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;49342;0;0;0;0;168;0;18000;0;0;0.0;0;0;0.0;2;0;500000.0;0;0;0.0;0;0;0.0;40;0;3000000.0;;;;;;0.0;0.0;17000.0;16589.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Ubaíra;27/01/2020;BA-F-2932101-13214-20200126;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;19759;0;1;0;273;150;0;5968;30;111;8494608.0;2;0;2500.0;0;0;0.0;0;0;0.0;0;0;0.0;10;14;1942391.74;;;;;;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;80000.0;0.0;0.0;0.0;0.0;0.0;0.0;4000000.0;0.0
BA;Biritinga;29/01/2020;BA-F-2903607-12300-20200126;12300 - Alagamentos;Não reconhecido;14833;0;0;0;0;0;0;12000;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;8;0;450000.0;;;;;;0.0;60000.0;20000.0;0.0;0.0;0.0;0.0;90000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
